제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001093783,(빅터 프랭클의) 죽음의 수용소에서 :죽음조차 희망으로 승화시킨 인간 존엄성의 승리,빅터 프랭클 지음,청아출판사,2017,9788936811143,1,6
000001735815,(월 50만 원으로) 8억 만드는 배당머신 :평생 든든한 배당주 월급 부자,평온,이나우스북스,2024,9791160643251,3,6
000001793722,"(이상한 과자 가게) 전천당 :시즌 2 .2 ,행운의 갈림길",히로시마 레이코 글,길벗스쿨,2025,9791199302327,8,6
000001757415,(조코딩의 AI 비트코인) 자동 매매 시스템 만들기 :AI & API를 활용한 스스로 투자하고 회고하는 자동 매매 시스템 완성,조동근 지음,한빛미디어,2025,9791169213752,0,6
000001629742,(프렌즈) 튀르키예(터키) :최신판 '23∼'24 =Turkey,주종원,중앙books: 중앙일보에스,2023,9788927879886,9,6
000001758630,(해리포터 팬이라면 꼭 알아야 할) 해리포터 마법학교 대백과 :비공식 해리포터 가이드북,머글넷 지음,Folder(폴더) : 솜씨컴퍼니,2025,9791186745809,8,6
000001738461,"(흔한남매) 별난 세계 여행 .4 ,세계 유명 궁",흔한남매 원작,Mirae N 아이세움: 미래엔,2025,9791173470615,9,6
000001511662,1차원이 되고 싶어 :박상영 장편소설,박상영 지음,문학동네,2021,9788954682749,8,6
000001790938,CEO의 다이어리 :오늘 당신은 어떤 미래를 살았는가?,스티븐 바틀렛 지음,윌북,2025,9791155818275,3,6
000001472897,각자도생의 세계와 지정학,피터 자이한 지음,김앤김북스,2021,9788989566823,3,6
000001627554,고래 :천명관 장편소설,천명관 지음,문학동네,2023,9788954691581,8,6
000001740267,그 개와 혁명,예소연,다산책방: 다산북스,2025,9791130664118,8,6
000001582822,기분이 태도가 되지 말자 :감정조절이 필요한 당신을 위한 책,김수현 지음,Highest(하이스트 출판사),2022,9791197647666,8,6
000001549914,긴긴밤 :큰 판형 양장본,루리 글·그림,문학동네,2021,9788954684033,8,6
000001648825,나는 메트로폴리탄 미술관의 경비원입니다 :경이로운 세계 속으로 숨어버린 한 남자의 이야기,패트릭 브링리 지음,웅진지식하우스: 웅진씽크빅,2023,9788901276533,8,6
000001651755,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다 :평생 월 500만 원씩 버는 30일 기적의 배당 파이프라인 공략집,송민섭 지음,21세기북스: 북이십일,2023,9791171171989,3,6
000001591107,나를 다 안다는 착각 :무의식은 어떻게 나를 뒤흔드는가,카렌 호나이 지음,Page2(페이지2북스),2023,9791169850131,1,6
000001652482,내가 한 말을 내가 오해하지 않기로 함,문상훈 지음,위너스북,2024,9791189352745,8,6
000001790890,너무 늦은 시간 :클레어 키건 소설,클레어 키건 지음,다산책방 : 다산북스,2025,9791130664903,8,6
000001722631,너에게 들려주는 단단한 말,김종원 지음,퍼스트펭귄,2024,9791198682550,1,6
000001587298,넛지 :복잡한 세상에서 똑똑한 선택을 이끄는 힘 : 파이널 에디션,리처드 탈러,리더스북 : 웅진씽크빅,2022,9788901260679,3,6
000000972415,"눈물을 마시는 새 :이영도 판타지 장편소설 .1 ,심장을 적출하는 나가",이영도 [지음],황금가지,2003,9788982735745,8,6
000001626275,눈부신 안부 :백수린 장편소설,백수린 지음,문학동네,2023,9788954699372,8,6
000001525587,다섯 번째 감각 :김보영 소설집,김보영 지음,아작,2022,9791166686603,8,6
000001508517,다정한 것이 살아남는다,브라이언 헤어,디플롯,2021,9791197413025,4,6
000001740417,"다판다 편의점 .1 ,목소리가 바뀌는 체인지 사탕",강효미 글,다산어린이,2025,9791130662985,8,6
000001638030,단 한 사람 :최진영 장편소설,최진영 지음,한겨레출판: 한겨레엔,2023,9791160405750,8,6
000001790970,더블린 사람들 :제임스 조이스 단편선,제임스 조이스 지음,문예출판사,2025,9788931025026,8,6
000000844269,리틀 라이프 :한야 야나기하라 장편소설 .1,한야 야나기하라 [지음],시공사,2016,9788952776372,8,6
000000269529,매스커레이드 호텔 :히가시노 게이고 장편소설 =Masquerade hotel,히가시노 게이고 지음,현대문학,2012,9788972756125,8,6
000001729184,머니 트렌드 :새로운 부의 기회를 선점할 55가지 성공 시나리오 .2025 =Money trend,정태익,북모먼트: 책읽어주는남자,2024,9791193937211,3,6
000001518421,모국어는 차라리 침묵 :목정원 산문,목정원 지음,아침달,2021,9791189467302,6,6
000001737484,미로 속 아이 :기욤 뮈소 장편소설,기욤 뮈소 지음,밝은세상,2024,9788984374942,8,6
000000007811,"바람이 분다, 가라 :한강 장편소설",한강 지음,문학과지성사,2010,9788932020006,8,6
000001720972,"배당투자, 나는 50에 은퇴했다 :평생 월 1,000만 원씩 받아내는 '배당주' 입장권",쭈압 지음,체인지업: 체인지업북스,2024,9791191378573,3,6
000001384604,부자의 언어 :어떻게 살아야 부자가 되는지 묻는 아들에게,존 소포릭 지음,윌북,2020,9791155812594,3,6
000001737468,비정근 :감정 없는 비상근 교사 : 히가시노 게이고 장편소설,히가시노 게이고 지음,하빌리스: 대원씨아이,2024,9791142303821,8,6
000001521976,비트코인 초보자가 가장 알고 싶은 최다질문 top 64 :비트코인 전문 기자 이정훈의 암호화폐 읽기,이정훈 지음,메이트북스 : 원앤원콘텐츠그룹,2021,9791160023572,3,6
000000421983,상실의 시대 :무라카미 하루키 장편소설,무라카미 하루키 [지음],문학사상사,2010,9788970123691,8,6
000000785314,푸른 사자 와니니 :이현 장편동화,이현 지음,창비,2015,9788936442804,8,6
000001787428,생성형 AI 도시 읽기 :미래도시 라이프스타일과 함께,원제무 지음,PNC(피앤씨미디어),2025,9791157309986,5,6
000000086494,서있는 여자 :박완서 장편소설,박완서 지음,세계사,2012,9788933801871,8,6
000001515599,소문 :오기와라 히로시 장편소설,오기와라 히로시 지음,바이포엠,2021,9791191043419,8,6
000001303893,숨 :테드 창 소설,테드 창 지음,엘리 : 북하우스 퍼블리셔스,2019,9791164050277,8,6
000001733893,스파이 코스트,테스 게리첸 지음,미래지향,2024,9791185851310,8,6
